datetime,Put_8500,Put_8600,Put_8700,Put_8800,Put_8900,Put_8950,Put_9000,Put_9050,Put_9100,Put_9150,Put_9200,Put_9250,Put_9300,Put_9350,Put_9400
2016-10-14 12:32:07,,23.94,21.21,18.89,16.06,15.32,14.79,14.05,13.46,13.23,13.01,12.85,12.69,12.49,13.35
2016-10-14 12:32:07,,23.94,21.21,18.89,16.06,15.32,14.79,14.05,13.46,13.23,13.01,12.85,12.69,12.49,13.35
2016-10-14 12:32:13,,23.94,21.21,18.89,16.06,15.32,14.79,14.05,13.46,13.16,13.01,12.85,12.69,12.49,13.35
2016-10-14 12:32:23,,23.94,21.21,18.89,16.06,15.32,14.79,14.05,13.54,13.08,13.01,12.85,12.75,12.49,13.35
2016-10-14 12:32:28,,23.94,21.21,18.89,16.06,15.32,14.79,14.05,13.54,13.08,13.01,12.85,12.75,12.49,13.35
2016-10-14 12:32:33,,23.94,21.21,18.89,16.06,15.32,14.79,14.05,13.64,13.16,13.01,12.85,12.75,12.49,13.35
2016-10-14 12:32:40,,23.94,21.21,18.89,16.06,15.32,14.79,14.05,13.64,13.16,13.01,12.76,12.75,12.53,13.35
2016-10-14 12:32:44,,23.94,21.21,18.89,16.06,15.32,14.79,14.05,13.54,13.16,13.01,12.76,12.82,12.57,13.35
2016-10-14 12:32:51,,23.94,21.21,18.89,16.06,15.32,14.79,14.05,13.54,13.16,13.07,12.85,12.82,12.57,13.35
2016-10-14 12:32:51,,23.94,21.21,18.89,16.06,15.32,14.79,14.05,13.54,13.16,13.07,12.85,12.82,12.57,13.35
2016-10-14 12:33:01,,23.94,21.21,18.89,16.06,15.32,14.79,14.05,13.54,13.16,13.07,12.85,12.82,12.61,13.35
2016-10-14 12:33:13,,23.94,21.21,18.89,16.06,15.32,14.75,13.91,13.54,13.08,12.96,12.85,12.69,12.61,13.35
2016-10-14 12:33:18,,23.94,21.21,18.89,16.06,15.32,14.71,13.91,13.54,13.08,12.96,12.85,12.69,12.61,13.35
2016-10-14 12:33:23,,23.94,21.21,18.89,16.06,15.32,14.71,13.91,13.54,13.08,12.96,12.76,12.69,12.61,13.35
2016-10-14 12:33:28,,23.94,21.21,18.89,16.06,15.32,14.71,13.91,13.54,13.08,13.03,12.68,12.69,12.57,13.35
2016-10-14 12:33:28,,23.94,21.21,18.89,16.06,15.32,14.71,13.91,13.54,13.08,12.96,12.68,12.69,12.57,13.35
2016-10-14 12:33:36,,23.94,21.21,18.89,16.06,15.32,14.62,13.91,13.61,13.08,12.96,12.68,12.69,12.57,13.35
2016-10-14 12:33:46,,23.94,21.21,18.89,16.1,15.32,14.62,13.91,13.51,13.18,13.03,12.68,12.69,12.78,13.35
2016-10-14 12:33:47,,23.94,21.21,18.89,16.06,15.32,14.62,13.91,13.51,13.18,13.03,12.68,12.69,12.74,13.35
2016-10-14 12:33:57,,23.94,21.21,18.89,16.06,15.32,14.71,13.91,13.51,13.18,13.03,12.68,12.82,12.74,13.35
2016-10-14 12:34:03,,23.94,21.21,18.89,15.96,15.32,14.71,13.91,13.51,13.18,13.03,12.77,12.82,12.74,13.35
2016-10-14 12:34:07,,23.94,21.21,18.89,15.96,15.32,14.71,13.91,13.51,13.18,13.03,12.77,12.82,12.74,13.35
2016-10-14 12:34:14,,23.94,21.21,18.89,15.96,15.32,14.71,13.91,13.51,13.18,13.03,12.68,12.82,12.74,13.35
2016-10-14 12:34:14,,23.94,21.21,18.89,15.96,15.32,14.71,13.91,13.51,13.18,12.96,12.68,12.82,12.74,13.35
2016-10-14 12:34:25,,23.94,21.21,18.73,15.96,15.32,14.71,13.91,13.51,13.18,12.96,12.68,12.82,12.74,13.35
2016-10-14 12:34:33,,23.94,21.21,18.73,15.96,15.32,14.71,13.91,13.51,13.25,12.96,12.68,12.69,12.74,13.29
2016-10-14 12:34:41,,23.94,21.21,18.73,15.96,15.32,14.71,13.91,13.51,13.25,12.96,12.77,12.69,12.74,13.35
2016-10-14 12:34:46,,23.94,21.21,18.73,15.96,15.32,14.71,13.91,13.51,13.25,12.96,12.77,12.69,12.74,13.35
2016-10-14 12:34:52,,23.94,21.21,18.73,15.96,15.19,14.71,13.91,13.51,13.25,12.96,12.77,12.69,12.74,13.35
2016-10-14 12:34:58,,23.94,21.21,18.73,15.96,15.19,14.71,13.77,13.51,13.25,12.96,12.77,12.69,12.74,13.35
2016-10-14 12:35:01,,23.94,21.21,18.73,15.96,15.19,14.66,13.77,13.51,13.25,12.9,12.77,12.69,12.74,13.35
2016-10-14 12:35:06,,23.94,21.21,18.73,15.96,15.19,14.66,13.77,13.61,13.25,12.9,12.77,12.82,12.74,13.26
2016-10-14 12:35:15,,23.94,21.21,18.73,15.96,15.19,14.66,13.77,13.61,13.25,12.9,12.77,12.69,12.74,13.26
2016-10-14 12:35:19,,23.94,21.21,18.89,15.96,15.19,14.66,13.77,13.61,13.25,12.96,12.77,12.69,12.74,13.26
2016-10-14 12:35:23,,23.94,21.21,18.89,15.96,15.19,14.66,13.77,13.61,13.25,12.96,12.77,12.69,12.74,13.32
